1	150
1	247
2	80
2	248
2	282
3	170
4	170
4	313
5	77
5	216
6	209
6	269
7	52
8	158
8	203
9	135
9	281
10	32
10	257
11	102
11	139
12	29
12	90
12	101
12	112
12	177
12	227
12	260
13	62
13	274
14	170
14	171
14	180
14	182
14	240
14	261
14	296
15	99
15	182
16	84
16	286
17	98
17	189
18	81
18	120
18	307
20	104
21	71
21	232
22	73
22	286
23	53
23	121
24	46
24	171
25	170
25	178
26	175
26	272
27	277
27	291
28	85
28	216
29	113
29	176
29	206
30	91
30	171
31	196
31	204
32	318
33	34
33	77
33	219
34	37
34	178
35	107
35	130
36	265
37	303
38	39
38	304
39	150
40	172
40	319
41	64
41	88
42	139
42	158
43	44
43	134
44	153
45	53
45	96
45	152
45	184
46	47
46	231
46	270
47	131
47	192
47	306
48	69
48	85
48	192
48	234
48	303
49	175
49	180
50	74
50	134
51	222
51	263
52	56
52	59
54	137
54	261
55	94
55	212
57	111
57	230
58	248
58	282
59	229
60	61
60	62
61	265
63	202
64	130
65	254
65	275
66	137
66	165
67	185
67	252
68	181
68	297
69	218
69	234
69	244
70	115
70	147
71	104
72	73
72	92
74	117
75	172
75	273
76	93
76	115
78	186
78	314
79	80
79	300
80	191
81	106
81	301
81	307
82	190
82	312
83	100
83	135
84	287
86	220
86	256
87	225
87	237
89	177
89	207
90	207
90	208
91	148
91	162
92	141
93	166
94	272
94	296
94	311
95	273
96	158
96	184
96	294
97	112
97	158
98	119
99	158
100	179
100	302
101	271
101	298
101	304
321	122
321	304
102	134
102	174
102	239
103	210
103	301
105	189
105	226
106	133
106	250
107	121
108	120
108	242
110	122
110	153
111	119
113	145
113	206
113	212
113	290
113	311
114	197
114	211
116	155
116	247
116	282
117	140
118	140
118	267
120	224
120	282
123	190
123	211
124	266
124	315
125	154
126	193
126	198
126	305
127	128
127	129
127	144
128	129
131	252
132	278
133	201
134	158
136	146
136	288
137	238
137	276
138	201
138	241
141	285
142	143
142	144
143	204
145	160
146	235
147	185
148	205
149	221
149	315
152	281
154	251
155	228
156	304
156	314
157	173
157	221
158	238
159	222
159	298
160	250
161	164
161	309
162	296
163	176
163	223
164	242
165	212
167	168
167	267
168	246
168	292
169	240
169	310
170	182
170	280
171	258
173	295
174	283
178	264
178	267
180	280
181	199
181	229
182	203
183	254
186	298
187	270
188	270
190	300
191	209
193	214
194	251
194	299
195	244
196	248
197	253
198	217
199	200
200	214
201	207
201	223
202	257
205	265
206	212
206	227
206	276
206	294
207	295
208	233
210	220
213	289
213	290
215	287
215	303
216	306
216	310
217	298
218	232
219	267
224	262
225	249
225	305
226	292
230	319
231	293
233	309
235	237
236	253
236	308
239	277
240	279
240	293
240	313
241	312
243	313
245	250
245	290
246	255
249	268
255	319
256	317
258	296
259	290
259	311
260	271
262	282
264	313
265	289
266	299
267	303
268	269
274	275
278	0
279	280
283	318
284	285
296	311
302	0
306	310
316	317
